,,,,,High School Graduation : Summarize,,,,,
Topic: Health Behavior and Population,,,,,,,,,,
Subtopic: Social and Economic Conditions,,,,,,,,,,
Indicator Name: High School Graduation,,,,,,,,,,
Indicator Description: ,,,,,,,,,,
,,,,,,,,,,
Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,Number,Percent,Notes Number,Notes Percent,
2013-17,Neighborhood (Community District),Brooklyn,South Crown Heights and Lefferts Gardens (CD9),309,High School Graduation,"65,455",86.0,,,
2013-17,Neighborhood (Community District),Queens,South Ozone Park and Howard Beach (CD10),410,High School Graduation,"73,994",76.9,,,
2013-17,Neighborhood (Community District),Staten Island,St. George and Stapleton (CD1),501,High School Graduation,"98,058",85.1,,,
2013-17,Neighborhood (Community District),Manhattan,Stuyvesant Town and Turtle Bay (CD6),106,High School Graduation,"115,352",96.8,,,
2013-17,Neighborhood (Community District),Brooklyn,Sunset Park (CD7),307,High School Graduation,"60,941",59.8,,,
2013-17,Neighborhood (Community District),Bronx,Throgs Neck and Co-op City (CD10),210,High School Graduation,"73,158",83.7,,,
2013-17,Neighborhood (Community District),Staten Island,Tottenville and Great Kills (CD3),503,High School Graduation,"107,940",92.5,,,
2013-17,Neighborhood (Community District),Manhattan,Upper East Side (CD8),108,High School Graduation,"175,343",97.4,,,
2013-17,Neighborhood (Community District),Manhattan,Upper West Side (CD7),107,High School Graduation,"148,100",94.3,,,
2013-17,Neighborhood (Community District),Manhattan,Washington Heights and Inwood (CD12),112,High School Graduation,"113,359",70.7,,,
2013-17,Neighborhood (Community District),Bronx,Williamsbridge and Baychester (CD12),212,High School Graduation,"78,224",80.0,,,
2013-17,Neighborhood (Community District),Queens,Woodside and Sunnyside (CD2),402,High School Graduation,"87,250",81.9,,,
2013-17,Neighborhood (NTA),Bronx, Allerton-Pelham Gardens,531,High School Graduation,"17,870",78.4,,,
2013-17,Neighborhood (NTA),Staten Island, Annadale-Huguenot-Prince's Bay-Eltingville,8501,High School Graduation,"19,176",92.3,,,
2013-17,Neighborhood (NTA),Staten Island, Arden Heights,8548,High School Graduation,"17,173",91.9,,,
2013-17,Neighborhood (NTA),Queens, Astoria,8170,High School Graduation,"52,766",85.2,,,
2013-17,Neighborhood (NTA),Queens, Auburndale,8148,High School Graduation,"13,445",84.8,,,
2013-17,Neighborhood (NTA),Queens, Baisley Park,8176,High School Graduation,"22,473",82.5,,,
2013-17,Neighborhood (NTA),Brooklyn, Bath Beach,4727,High School Graduation,"18,058",76.9,,,
2013-17,Neighborhood (NTA),Manhattan, Battery Park City-Lower Manhattan,6125,High School Graduation,"33,367",97.0,,,
2013-17,Neighborhood (NTA),Brooklyn, Bay Ridge,4731,High School Graduation,"51,227",86.6,,,
2013-17,Neighborhood (NTA),Queens, Bayside-Bayside Hills,8146,High School Graduation,"29,828",88.4,,,
2013-17,Neighborhood (NTA),Brooklyn, Bedford,4775,High School Graduation,"37,027",80.0,,,
2013-17,Neighborhood (NTA),Bronx, Bedford Park-Fordham North,505,High School Graduation,"23,898",67.4,,,
2013-17,Neighborhood (NTA),Queens, Bellerose,8143,High School Graduation,"16,917",87.2,,,
2013-17,Neighborhood (NTA),Bronx, Belmont,506,High School Graduation,"9,994",65.6,,,
2013-17,Neighborhood (NTA),Brooklyn, Bensonhurst East,4729,High School Graduation,"35,572",75.4,,,
2013-17,Neighborhood (NTA),Brooklyn, Bensonhurst West,4728,High School Graduation,"47,688",71.4,,,
2013-17,Neighborhood (NTA),Brooklyn, Borough Park,4788,High School Graduation,"38,431",72.3,,,
2013-17,Neighborhood (NTA),Queens, Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,8110,High School Graduation,"18,381",89.2,,,
2013-17,Neighborhood (NTA),Queens, Briarwood-Jamaica Hills,8135,High School Graduation,"25,304",81.0,,,
2013-17,Neighborhood (NTA),Brooklyn, Brighton Beach,4719,High School Graduation,"23,020",86.5,,,
