zipcode,day,neighborhood_name,borough_group,positive,covid_case_rate,covid_death_count,covid_death_rate,incidence_rate,newcases,pop_denominator
11378,2020-08-01,Maspeth,Queens,797,2303.9,74,213.91,2.890758245887896,1,34593
11379,2020-08-01,Middle Village,Queens,870,2403.61,97,267.99,0,0,36196
11385,2020-08-01,Glendale/Ridgewood,Queens,2372,2304.48,142,137.96,5.829204313611192,6,102930
11411,2020-08-01,Cambria Heights,Queens,721,3518.06,50,243.97,4.879476920074168,1,20494
11412,2020-08-01,St. Albans,Queens,1306,3319.19,91,231.28,0,0,39347
11413,2020-08-01,Laurelton/Rosedale,Queens,1392,3189.15,103,235.98,6.873167155425221,3,43648
11414,2020-08-01,Hamilton Beach/Howard Beach/Lindenwood,Queens,848,3000.12,63,222.89,3.5378192881907595,1,28266
11415,2020-08-01,Kew Gardens,Queens,560,2911.47,51,265.15,0,0,19234
11416,2020-08-01,Ozone Park,Queens,761,2859.35,55,206.65,3.7574209062899224,1,26614
11417,2020-08-01,Ozone Park,Queens,933,2983.63,46,147.1,0,0,31271
11418,2020-08-01,Richmond Hill,Queens,1188,3117.69,106,278.18,2.6243275160740063,1,38105
11419,2020-08-01,Richmond Hill/South Ozone Park,Queens,1285,2527.1,98,192.73,0,0,50849
11420,2020-08-01,South Ozone Park,Queens,1447,2988.7,107,221,4.130865829477858,2,48416
11421,2020-08-01,Woodhaven,Queens,1270,3008.8,103,244.02,14.214977848326187,6,42209
11422,2020-08-01,Rosedale,Queens,1055,3128.56,67,198.69,0,0,33722
11423,2020-08-01,Hollis/Holliswood,Queens,1138,3551.68,105,327.7,3.1210012171904746,1,32041
11426,2020-08-01,Bellerose,Queens,522,2563.44,34,166.97,4.910867750331484,1,20363
11427,2020-08-01,Bellerose/Hollis Hills/Holliswood,Queens,828,3567.06,51,219.71,0,0,23212
11428,2020-08-01,Queens Village,Queens,702,3632.14,54,279.4,10.34821751953226,2,19327
11429,2020-08-01,Queens Village,Queens,1019,3634.57,75,267.51,0,0,28036
11432,2020-08-01,Hillcrest/Jamaica Estates/Jamaica Hills,Queens,1936,3063.51,254,401.93,4.747211013529551,3,63195
11433,2020-08-01,Jamaica,Queens,1009,2800,79,219.23,0,0,36036
11434,2020-08-01,Airport/South Jamaica/Springfield Gardens/St. Albans,Queens,2214,3278.25,197,291.7,2.961383558398484,2,67536
11435,2020-08-01,Briarwood/Jamaica,Queens,1726,2993.21,150,260.13,1.7341842397336293,1,57664
11436,2020-08-01,South Jamaica/South Ozone Park,Queens,573,2753.82,46,221.07,4.806074878646609,1,20807
11691,2020-08-01,Edgemere/Far Rockaway,Queens,2577,3979.37,372,574.44,9.265121450300345,6,64759
11692,2020-08-01,Arverne/Edgemere,Queens,672,3339.92,93,462.22,0,0,20120
11693,2020-08-01,Arverne/Broad Channel,Queens,347,2802.62,29,234.22,8.0768920119538,1,12381
11694,2020-08-01,Belle Harbor-Neponsit/Rockaway Park,Queens,767,3767.97,88,432.31,4.912556494399686,1,20356
11697,2020-08-01,Breezy Point,Queens,111,3138.53,4,113.1,0,0,3537
10001,2020-08-02,Chelsea/NoMad/West Chelsea,Manhattan,421,1786.7,25,106.1,4.243941773118873,1,23563
10002,2020-08-02,Chinatown/Lower East Side,Manhattan,1241,1616.82,160,208.45,5.211386880333529,4,76755
10003,2020-08-02,East Village/Gramercy/Greenwich Village,Manhattan,516,959.08,34,63.2,0,0,53802
10004,2020-08-02,Financial District,Manhattan,39,1068.32,1,27.39,0,0,3651
10005,2020-08-02,Financial District,Manhattan,81,964.73,2,23.82,0,0,8396
10006,2020-08-02,Financial District,Manhattan,36,1041.13,0,0,0,0,3458
10007,2020-08-02,TriBeCa,Manhattan,71,860.63,3,36.36,0,0,8250
10009,2020-08-02,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,797,1356.64,69,117.45,1.702185606318513,1,58748
10010,2020-08-02,Flatiron/Gramercy/Kips Bay,Manhattan,310,957.62,19,58.69,0,0,32372
10011,2020-08-02,Chelsea,Manhattan,597,1206.05,43,86.87,0,0,49501
10012,2020-08-02,Greenwich Village/SoHo,Manhattan,196,817.31,9,37.53,12.509903673741713,3,23981
